instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
XiongCurrinExp kriging 10 0 1 2 0.9946 0.0155 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9985 0.9655 0.0079 0.0080 0.082089
XiongCurrinExp kriging 10 0 2 2 0.9946 0.0156 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9940 0.9630 0.0088 0.0089 0.146239
XiongCurrinExp kriging 10 0 3 2 0.9946 0.0156 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9960 0.9695 0.0083 0.0083 0.100789
XiongCurrinExp kriging 10 0 4 2 0.9944 0.0159 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9685 0.0081 0.0082 0.103679
XiongCurrinExp kriging 10 0 5 2 0.9943 0.0159 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9940 0.9745 0.0083 0.0084 0.093820
XiongCurrinExp kriging 10 0 6 2 0.9943 0.0157 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9950 0.9775 0.0082 0.0083 0.088470
XiongCurrinExp kriging 10 0 7 2 0.9947 0.0153 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9975 0.9735 0.0078 0.0078 0.104246
XiongCurrinExp kriging 10 0 8 2 0.9949 0.0149 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9980 0.9710 0.0076 0.0077 0.116884
XiongCurrinExp kriging 10 0 9 2 0.9948 0.0153 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9720 0.0078 0.0079 0.136669
XiongCurrinExp kriging 10 0 10 2 0.9946 0.0157 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9715 0.0078 0.0079 0.113546
XiongCurrinExp kriging 10 0 11 2 0.9944 0.0157 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9660 0.0080 0.0080 0.135101
XiongCurrinExp kriging 10 0 12 2 0.9947 0.0156 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9990 0.9610 0.0082 0.0082 0.071228
XiongCurrinExp kriging 10 0 13 2 0.9943 0.0159 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9950 0.9675 0.0084 0.0084 0.116605
XiongCurrinExp kriging 10 0 14 2 0.9944 0.0155 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9985 0.9700 0.0079 0.0079 0.083572
XiongCurrinExp kriging 10 0 15 2 0.9944 0.0158 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9670 0.0079 0.0079 0.161748
XiongCurrinExp kriging 10 0 16 2 0.9945 0.0155 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9975 0.9705 0.0080 0.0081 0.121500
XiongCurrinExp kriging 10 0 17 2 0.9946 0.0157 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9960 0.9605 0.0086 0.0086 0.077721
XiongCurrinExp kriging 10 0 18 2 0.9948 0.0154 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9745 0.0079 0.0080 0.142874
XiongCurrinExp kriging 10 0 19 2 0.9951 0.0150 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9970 0.9630 0.0081 0.0081 0.117117
XiongCurrinExp kriging 10 0 20 2 0.9948 0.0154 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9940 0.9525 0.0091 0.0092 0.099454
