instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 9 10 0.1811 0.1713 0.7135 0.5164 0.3590 0.2634 0.2150 0.1847 0.1568 0.1344 0.1159 0.0996 0.0897 0.3095 0.9815 0.060078
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 10 10 0.1906 0.2441 0.7499 0.5499 0.3780 0.2715 0.2169 0.1826 0.1558 0.1350 0.1107 0.0977 0.0903 0.3039 0.9336 0.133847
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 11 10 0.1794 0.1906 0.6978 0.5032 0.3596 0.2702 0.2142 0.1816 0.1582 0.1384 0.1172 0.1052 0.0938 0.3132 0.9993 0.062407
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 12 10 0.1813 0.2611 0.7239 0.5399 0.3748 0.2769 0.2181 0.1869 0.1618 0.1386 0.1174 0.1024 0.0930 0.3105 0.9593 0.162028
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 13 10 0.1870 0.2385 0.7384 0.5404 0.3728 0.2718 0.2159 0.1793 0.1521 0.1325 0.1122 0.0991 0.0905 0.3045 0.9458 0.173512
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 14 10 0.1810 0.2136 0.7384 0.5405 0.3722 0.2774 0.2225 0.1878 0.1623 0.1410 0.1190 0.1057 0.0950 0.3105 0.9508 0.067091
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 15 10 0.1824 0.2193 0.7169 0.5202 0.3721 0.2752 0.2191 0.1876 0.1605 0.1400 0.1160 0.1022 0.0934 0.3116 0.9710 0.110725
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 16 10 0.1851 0.2304 0.7518 0.5501 0.3770 0.2773 0.2210 0.1914 0.1647 0.1414 0.1189 0.1059 0.0976 0.3089 0.9345 0.077867
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 17 10 0.1833 0.2461 0.7482 0.5459 0.3675 0.2672 0.2150 0.1824 0.1564 0.1327 0.1110 0.0955 0.0860 0.3033 0.9392 0.098034
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 18 10 0.1920 0.2417 0.7625 0.5578 0.3871 0.2762 0.2161 0.1819 0.1567 0.1350 0.1133 0.0994 0.0912 0.3027 0.9188 0.130639
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 19 10 0.1859 0.2236 0.7447 0.5635 0.3932 0.2796 0.2183 0.1838 0.1571 0.1338 0.1115 0.0977 0.0886 0.3043 0.9249 0.136767
COCOfunction19-dim10-seed1-disth1-height0-radius0.025-freq10-amp2 cokriging 40 100 20 10 0.1819 0.2184 0.7302 0.5321 0.3726 0.2826 0.2266 0.1933 0.1659 0.1454 0.1240 0.1096 0.0977 0.3144 0.9597 0.137886
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 1 10 0.1821 0.1565 0.6115 0.4575 0.3710 0.3075 0.2635 0.2260 0.1934 0.1662 0.1371 0.1173 0.1030 0.3424 1.0658 0.069062
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 2 10 0.1767 0.1824 0.6410 0.4788 0.3848 0.3240 0.2775 0.2406 0.2074 0.1779 0.1420 0.1157 0.1004 0.3443 1.0263 0.089756
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 3 10 0.1944 0.1586 0.6561 0.5036 0.4022 0.3386 0.2881 0.2468 0.2079 0.1760 0.1379 0.1161 0.1028 0.3426 0.9943 0.079315
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 4 10 0.1858 0.2237 0.6442 0.4938 0.3990 0.3332 0.2851 0.2471 0.2134 0.1803 0.1465 0.1242 0.1076 0.3476 1.0161 0.101723
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 5 10 0.1834 0.1447 0.6026 0.4554 0.3750 0.3138 0.2703 0.2337 0.1993 0.1707 0.1395 0.1204 0.1067 0.3466 1.0722 0.076863
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 6 10 0.1744 0.2083 0.6262 0.4751 0.3855 0.3231 0.2791 0.2440 0.2142 0.1846 0.1489 0.1260 0.1089 0.3495 1.0386 0.087560
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 7 10 0.2120 0.1669 0.6497 0.4927 0.4036 0.3414 0.2948 0.2538 0.2169 0.1837 0.1483 0.1245 0.1110 0.3488 1.0057 0.171872
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 8 10 0.1958 0.0954 0.6395 0.4850 0.3876 0.3178 0.2756 0.2372 0.2009 0.1716 0.1388 0.1176 0.1042 0.3424 1.0266 0.045630
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 9 10 0.1814 0.1448 0.6221 0.4733 0.3838 0.3233 0.2814 0.2429 0.2118 0.1803 0.1467 0.1232 0.1078 0.3495 1.0459 0.069372
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 10 10 0.1747 0.1677 0.6144 0.4701 0.3801 0.3240 0.2795 0.2385 0.2038 0.1729 0.1404 0.1186 0.1051 0.3467 1.0521 0.129340
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 11 10 0.1718 0.1240 0.6211 0.4665 0.3760 0.3159 0.2696 0.2338 0.2015 0.1705 0.1352 0.1136 0.1004 0.3435 1.0527 0.059877
COCOfunction15-dim10-seed1-dists2-centres9-radius0.25-freq10-amp1.5 cokriging 40 100 12 10 0.1825 0.1591 0.6389 0.4843 0.3901 0.3324 0.2842 0.2437 0.2118 0.1791 0.1438 0.1235 0.1080 0.3473 1.0241 0.099519
