instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction20-dim10-seed1-disth2-height0.5-radius0.1-freq100-amp0.5 kriging 50 0 17 10 0.6413 0.0997 0.8369 0.6936 0.5654 0.4438 0.3380 0.2489 0.1676 0.0952 0.0408 0.0166 0.0058 0.2694 0.6883 0.028231
COCOfunction20-dim10-seed1-disth2-height0.5-radius0.1-freq100-amp0.5 kriging 50 0 18 10 0.6489 0.0968 0.8421 0.7085 0.5799 0.4601 0.3513 0.2556 0.1771 0.1027 0.0462 0.0216 0.0090 0.2720 0.6801 0.038802
COCOfunction20-dim10-seed1-disth2-height0.5-radius0.1-freq100-amp0.5 kriging 50 0 19 10 0.6633 0.0997 0.8276 0.7016 0.5753 0.4581 0.3556 0.2737 0.1934 0.1172 0.0524 0.0247 0.0111 0.2813 0.6968 0.040897
COCOfunction20-dim10-seed1-disth2-height0.5-radius0.1-freq100-amp0.5 kriging 50 0 20 10 0.6510 0.1050 0.8357 0.6971 0.5650 0.4482 0.3448 0.2492 0.1737 0.1041 0.0443 0.0190 0.0078 0.2730 0.6935 0.034958
COCOfunction9-dim10-seed1-dists1-centres1-radius0.1-freq100-amp0.1 kriging 50 0 1 10 0.6436 0.0696 0.9454 0.8486 0.7046 0.5433 0.3897 0.2591 0.1438 0.0670 0.0206 0.0065 0.0022 0.2232 0.5048 0.100693
COCOfunction9-dim10-seed1-dists1-centres1-radius0.1-freq100-amp0.1 kriging 50 0 2 10 0.6339 0.0502 0.9462 0.8558 0.7237 0.5622 0.4048 0.2577 0.1461 0.0662 0.0170 0.0068 0.0024 0.2208 0.4935 0.069719
COCOfunction9-dim10-seed1-dists1-centres1-radius0.1-freq100-amp0.1 kriging 50 0 3 10 0.6349 0.0597 0.9528 0.8676 0.7400 0.5778 0.4099 0.2686 0.1557 0.0708 0.0197 0.0070 0.0028 0.2199 0.4822 0.087114
COCOfunction9-dim10-seed1-dists1-centres1-radius0.1-freq100-amp0.1 kriging 50 0 4 10 0.6390 0.0671 0.9400 0.8467 0.7178 0.5624 0.4107 0.2633 0.1557 0.0757 0.0226 0.0079 0.0028 0.2270 0.5055 0.098753
COCOfunction9-dim10-seed1-dists1-centres1-radius0.1-freq100-amp0.1 kriging 50 0 5 10 0.6370 0.0625 0.9439 0.8489 0.7152 0.5609 0.4017 0.2626 0.1521 0.0702 0.0204 0.0068 0.0023 0.2243 0.5014 0.076293
COCOfunction9-dim10-seed1-dists1-centres1-radius0.1-freq100-amp0.1 kriging 50 0 6 10 0.6381 0.0675 0.9410 0.8541 0.7255 0.5816 0.4259 0.2789 0.1580 0.0730 0.0190 0.0056 0.0026 0.2256 0.4954 0.099239
