instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 1 5 0.4403 0.1074 0.8718 0.7604 0.6854 0.6260 0.5798 0.5364 0.4944 0.4456 0.3786 0.3328 0.2908 0.3725 0.6209 0.085877
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 2 5 0.3823 0.1594 0.8436 0.7164 0.6398 0.5766 0.5336 0.4944 0.4530 0.4086 0.3464 0.3024 0.2708 0.3807 0.6768 0.088379
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 3 5 0.4133 0.1052 0.8470 0.7100 0.6290 0.5734 0.5254 0.4834 0.4420 0.3908 0.3304 0.2918 0.2642 0.3766 0.6785 0.063372
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 4 5 0.4436 0.1310 0.8584 0.7218 0.6374 0.5778 0.5294 0.4848 0.4438 0.4018 0.3490 0.3062 0.2714 0.3760 0.6684 0.132063
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 5 5 0.4576 0.1100 0.8630 0.7412 0.6504 0.5970 0.5480 0.5022 0.4574 0.4054 0.3428 0.2928 0.2582 0.3717 0.6505 0.107691
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 6 5 0.4660 0.1123 0.8876 0.7638 0.6860 0.6280 0.5756 0.5258 0.4764 0.4284 0.3696 0.3286 0.2958 0.3664 0.6130 0.101089
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 7 5 0.4530 0.1017 0.8676 0.7624 0.6762 0.6206 0.5714 0.5258 0.4836 0.4330 0.3796 0.3404 0.3124 0.3733 0.6263 0.075428
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 8 5 0.4206 0.1307 0.8636 0.7292 0.6508 0.5944 0.5494 0.5072 0.4628 0.4144 0.3570 0.3120 0.2836 0.3754 0.6527 0.099179
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 9 5 0.5137 0.0868 0.8788 0.7548 0.6714 0.6100 0.5582 0.5034 0.4602 0.4132 0.3564 0.3136 0.2798 0.3688 0.6333 0.086381
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 10 5 0.4816 0.1111 0.8576 0.7352 0.6534 0.5930 0.5444 0.5008 0.4560 0.4152 0.3568 0.3118 0.2780 0.3754 0.6544 0.093463
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 11 5 0.4719 0.1070 0.8562 0.7478 0.6730 0.6072 0.5594 0.5068 0.4600 0.4136 0.3558 0.3114 0.2828 0.3727 0.6424 0.166775
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 12 5 0.4369 0.1278 0.8716 0.7592 0.6838 0.6192 0.5646 0.5118 0.4632 0.4122 0.3498 0.3078 0.2756 0.3654 0.6231 0.169033
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 13 5 0.4230 0.1376 0.8660 0.7220 0.6334 0.5678 0.5190 0.4752 0.4366 0.3870 0.3314 0.2910 0.2622 0.3730 0.6714 0.080974
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 14 5 0.4396 0.1083 0.8542 0.7424 0.6682 0.6110 0.5540 0.5076 0.4634 0.4162 0.3592 0.3088 0.2766 0.3737 0.6452 0.152222
COCOfunction19-dim5-seed1-dists2-centres6-radius0.15-freq10-amp2 cokriging 20 50 15 5 0.4688 0.1115 0.8768 0.7566 0.6814 0.6226 0.5760 0.5324 0.4834 0.4350 0.3644 0.3236 0.2932 0.3704 0.6217 0.105823
