instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 1 5 0.6563 0.0616 0.9898 0.9818 0.9636 0.9442 0.9194 0.8966 0.8734 0.8438 0.8026 0.7700 0.7416 0.2069 0.2278 0.074865
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 2 5 0.6134 0.0911 0.9892 0.9770 0.9612 0.9362 0.9112 0.8798 0.8324 0.7844 0.7304 0.6942 0.6596 0.2207 0.2502 0.099208
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 3 5 0.6666 0.0593 0.9898 0.9784 0.9640 0.9514 0.9372 0.9128 0.8764 0.8252 0.7652 0.7280 0.7042 0.2000 0.2211 0.074677
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 4 5 0.6581 0.0790 0.9930 0.9824 0.9680 0.9472 0.9200 0.8854 0.8434 0.7986 0.7484 0.7190 0.6936 0.2091 0.2342 0.118368
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 5 5 0.7083 0.0576 0.9888 0.9806 0.9688 0.9544 0.9348 0.9156 0.8874 0.8436 0.7890 0.7464 0.7168 0.1967 0.2160 0.140296
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 6 5 0.7168 0.0608 0.9932 0.9882 0.9804 0.9676 0.9488 0.9184 0.8720 0.8142 0.7512 0.7128 0.6922 0.1827 0.2013 0.084411
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 7 5 0.7108 0.0599 0.9978 0.9944 0.9892 0.9780 0.9578 0.9132 0.8700 0.8150 0.7522 0.7084 0.6750 0.1710 0.1880 0.069490
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 8 5 0.5880 0.0902 0.9898 0.9740 0.9520 0.9278 0.9000 0.8658 0.8314 0.7926 0.7422 0.7100 0.6850 0.2285 0.2595 0.075762
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 9 5 0.6154 0.0633 0.9890 0.9722 0.9524 0.9328 0.9064 0.8714 0.8346 0.7892 0.7354 0.6956 0.6666 0.2257 0.2562 0.069733
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 10 5 0.6529 0.0756 0.9908 0.9834 0.9670 0.9504 0.9254 0.8878 0.8472 0.7996 0.7366 0.6842 0.6508 0.2063 0.2316 0.074874
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 11 5 0.7189 0.0597 0.9964 0.9912 0.9786 0.9636 0.9394 0.9132 0.8762 0.8314 0.7852 0.7512 0.7168 0.1839 0.2016 0.078494
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 12 5 0.7320 0.0632 0.9926 0.9872 0.9786 0.9652 0.9474 0.9220 0.8876 0.8356 0.7618 0.7156 0.6890 0.1818 0.1995 0.107868
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 13 5 0.6359 0.0865 0.9870 0.9810 0.9746 0.9620 0.9460 0.9124 0.8564 0.8020 0.7498 0.7186 0.6962 0.1969 0.2186 0.150516
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 14 5 0.7129 0.0538 0.9918 0.9840 0.9712 0.9520 0.9296 0.8948 0.8654 0.8250 0.7742 0.7368 0.7036 0.2006 0.2222 0.066851
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 15 5 0.6425 0.0724 0.9880 0.9770 0.9614 0.9404 0.9112 0.8824 0.8486 0.8118 0.7650 0.7304 0.7024 0.2180 0.2443 0.117129
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 16 5 0.6603 0.0621 0.9936 0.9794 0.9602 0.9428 0.9264 0.9028 0.8698 0.8244 0.7698 0.7216 0.6914 0.2055 0.2282 0.072552
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 17 5 0.6941 0.0607 0.9958 0.9924 0.9836 0.9686 0.9464 0.9122 0.8570 0.8084 0.7562 0.7166 0.6890 0.1827 0.2018 0.068247
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 18 5 0.5407 0.0661 0.9720 0.9512 0.9294 0.9070 0.8858 0.8516 0.8042 0.7582 0.7130 0.6868 0.6628 0.2566 0.2986 0.054098
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 19 5 0.6557 0.0735 0.9928 0.9812 0.9664 0.9526 0.9354 0.9040 0.8600 0.8180 0.7602 0.7174 0.6902 0.2005 0.2225 0.163821
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.05-freq100-amp1 cokriging 20 50 20 5 0.7465 0.0648 0.9984 0.9952 0.9886 0.9784 0.9626 0.9350 0.8896 0.8350 0.7806 0.7494 0.7168 0.1618 0.1756 0.110252
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 1 5 0.6977 0.0259 1.0000 0.9992 0.9970 0.9952 0.9932 0.9890 0.9760 0.9518 0.9152 0.8844 0.8536 0.0852 0.0875 0.051297
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 2 5 0.7904 0.0271 1.0000 1.0000 0.9998 0.9996 0.9976 0.9926 0.9772 0.9528 0.9038 0.8712 0.8476 0.0761 0.0781 0.039881
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 3 5 0.8543 0.0214 1.0000 1.0000 1.0000 1.0000 0.9998 0.9982 0.9932 0.9640 0.9178 0.8948 0.8674 0.0597 0.0609 0.029796
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 4 5 0.7802 0.0233 1.0000 1.0000 0.9998 0.9998 0.9970 0.9914 0.9788 0.9552 0.9220 0.8888 0.8608 0.0736 0.0753 0.047489
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 5 5 0.7078 0.0206 0.9998 0.9992 0.9984 0.9964 0.9934 0.9866 0.9744 0.9564 0.9270 0.8968 0.8686 0.0835 0.0855 0.032874
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 6 5 0.8305 0.0243 1.0000 1.0000 1.0000 1.0000 1.0000 0.9998 0.9978 0.9830 0.9416 0.9094 0.8662 0.0446 0.0453 0.034454
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 7 5 0.8251 0.0211 1.0000 1.0000 1.0000 1.0000 0.9996 0.9954 0.9834 0.9674 0.9350 0.8906 0.8546 0.0629 0.0641 0.032305
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 8 5 0.7144 0.0240 0.9992 0.9984 0.9970 0.9952 0.9918 0.9850 0.9738 0.9514 0.9308 0.9058 0.8814 0.0893 0.0915 0.032872
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 9 5 0.8566 0.0138 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 0.9942 0.9694 0.9408 0.9140 0.8794 0.0525 0.0534 0.028613
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 10 5 0.7216 0.0320 0.9998 0.9998 0.9994 0.9984 0.9926 0.9856 0.9706 0.9536 0.9200 0.8836 0.8586 0.0835 0.0857 0.039689
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 11 5 0.7290 0.0276 0.9996 0.9986 0.9968 0.9942 0.9900 0.9854 0.9712 0.9564 0.9198 0.8792 0.8506 0.0906 0.0931 0.037463
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 12 5 0.7320 0.0326 1.0000 1.0000 0.9992 0.9954 0.9866 0.9780 0.9652 0.9464 0.9116 0.8824 0.8548 0.0956 0.0985 0.049341
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 13 5 0.7253 0.0200 0.9998 0.9998 0.9986 0.9962 0.9918 0.9844 0.9748 0.9620 0.9192 0.8778 0.8520 0.0846 0.0868 0.033229
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 14 5 0.7089 0.0223 0.9996 0.9994 0.9982 0.9954 0.9910 0.9860 0.9772 0.9688 0.9232 0.8784 0.8560 0.0832 0.0853 0.040856
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 15 5 0.7454 0.0340 0.9998 0.9996 0.9988 0.9976 0.9956 0.9926 0.9830 0.9570 0.9238 0.8960 0.8728 0.0755 0.0772 0.061433
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 16 5 0.7682 0.0181 1.0000 0.9998 0.9986 0.9970 0.9926 0.9880 0.9774 0.9576 0.9158 0.8766 0.8450 0.0817 0.0839 0.046331
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 17 5 0.7823 0.0194 1.0000 1.0000 1.0000 0.9980 0.9944 0.9866 0.9754 0.9624 0.9296 0.8842 0.8614 0.0773 0.0792 0.037313
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 18 5 0.8718 0.0147 1.0000 1.0000 1.0000 1.0000 0.9996 0.9980 0.9904 0.9786 0.9328 0.8854 0.8608 0.0542 0.0552 0.029150
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 19 5 0.6672 0.0273 0.9998 0.9990 0.9956 0.9942 0.9916 0.9884 0.9792 0.9526 0.9274 0.8962 0.8750 0.0871 0.0893 0.044195
COCOfunction12-dim5-seed1-disth2-height0-radius0.025-freq100-amp1.5 cokriging 20 50 20 5 0.8399 0.0137 1.0000 0.9996 0.9992 0.9992 0.9988 0.9970 0.9866 0.9558 0.9238 0.8922 0.8656 0.0674 0.0689 0.043803
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 1 5 0.6297 0.1252 0.9684 0.8050 0.4662 0.1580 0.0358 0.0066 0.0012 0.0002 0.0000 0.0000 0.0000 0.1094 0.3713 0.120870
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 2 5 0.6125 0.1315 0.9544 0.7730 0.4548 0.1602 0.0236 0.0032 0.0000 0.0000 0.0000 0.0000 0.0000 0.1104 0.3855 0.102949
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 3 5 0.6299 0.1278 0.9638 0.7954 0.4602 0.1782 0.0386 0.0022 0.0000 0.0000 0.0000 0.0000 0.0000 0.1125 0.3828 0.085166
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 4 5 0.6321 0.1303 0.9606 0.8070 0.4770 0.1878 0.0318 0.0040 0.0002 0.0000 0.0000 0.0000 0.0000 0.1117 0.3766 0.108339
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 5 5 0.6238 0.1239 0.9624 0.7936 0.4906 0.1784 0.0350 0.0064 0.0004 0.0000 0.0000 0.0000 0.0000 0.1121 0.3784 0.079624
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 6 5 0.6195 0.1305 0.9624 0.7774 0.4702 0.1878 0.0390 0.0052 0.0000 0.0000 0.0000 0.0000 0.0000 0.1151 0.3915 0.074148
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 7 5 0.6168 0.1349 0.9604 0.7878 0.4664 0.1674 0.0216 0.0020 0.0000 0.0000 0.0000 0.0000 0.0000 0.1075 0.3699 0.101934
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 8 5 0.6134 0.1284 0.9642 0.7696 0.4180 0.1502 0.0376 0.0052 0.0004 0.0000 0.0000 0.0000 0.0000 0.1108 0.3904 0.095568
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 9 5 0.6315 0.1246 0.9628 0.7998 0.4786 0.1716 0.0422 0.0026 0.0000 0.0000 0.0000 0.0000 0.0000 0.1116 0.3777 0.133049
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 10 5 0.6465 0.1270 0.9642 0.8114 0.5066 0.2022 0.0496 0.0066 0.0000 0.0000 0.0000 0.0000 0.0000 0.1147 0.3770 0.028055
COCOfunction13-dim5-seed1-dists1-centres6-radius0.025-freq100-amp1 cokriging 20 50 11 5 0.6269 0.1333 0.9710 0.8050 0.4724 0.1738 0.0354 0.0034 0.0006 0.0000 0.0000 0.0000 0.0000 0.1091 0.3693 0.138287
