instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 9 10 0.1464 0.2166 0.7638 0.6741 0.6175 0.5695 0.5251 0.4881 0.4495 0.4081 0.3572 0.3200 0.2892 0.4015 0.7375 0.138420
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 10 10 0.1371 0.2023 0.7522 0.6717 0.6133 0.5665 0.5271 0.4878 0.4477 0.4086 0.3542 0.3186 0.2901 0.4036 0.7455 0.104022
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 11 10 0.1375 0.1988 0.7537 0.6715 0.6114 0.5623 0.5217 0.4828 0.4456 0.4063 0.3603 0.3248 0.2947 0.4040 0.7479 0.137741
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 12 10 0.1660 0.1966 0.7489 0.6662 0.6090 0.5652 0.5236 0.4871 0.4448 0.4054 0.3562 0.3187 0.2873 0.4040 0.7492 0.159861
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 13 10 0.1393 0.2078 0.7564 0.6709 0.6145 0.5674 0.5262 0.4883 0.4512 0.4098 0.3551 0.3180 0.2893 0.4031 0.7432 0.155079
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 14 10 0.1516 0.2034 0.7531 0.6704 0.6153 0.5690 0.5272 0.4934 0.4575 0.4154 0.3628 0.3213 0.2900 0.4048 0.7429 0.134688
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 15 10 0.1527 0.2057 0.7607 0.6759 0.6175 0.5732 0.5332 0.4934 0.4544 0.4110 0.3579 0.3170 0.2887 0.4018 0.7354 0.149046
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 16 10 0.1495 0.2136 0.7587 0.6724 0.6190 0.5689 0.5262 0.4891 0.4521 0.4128 0.3616 0.3190 0.2890 0.4028 0.7395 0.132018
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 17 10 0.1543 0.1978 0.7648 0.6854 0.6249 0.5779 0.5346 0.4961 0.4557 0.4120 0.3587 0.3190 0.2881 0.4006 0.7291 0.140571
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 18 10 0.1437 0.2031 0.7561 0.6710 0.6139 0.5640 0.5233 0.4834 0.4470 0.4074 0.3565 0.3186 0.2897 0.4032 0.7458 0.144662
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 19 10 0.1477 0.2047 0.7552 0.6760 0.6169 0.5710 0.5292 0.4918 0.4524 0.4143 0.3646 0.3264 0.2989 0.4048 0.7416 0.116867
COCOfunction1-dim10-seed1-disth1-height0.5-radius0.15-freq10-amp1 cokriging 40 100 20 10 0.1487 0.1904 0.7617 0.6811 0.6255 0.5789 0.5423 0.5079 0.4683 0.4281 0.3758 0.3339 0.3005 0.4043 0.7274 0.135789
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 1 10 0.1642 0.1413 0.7941 0.7176 0.6632 0.6226 0.5867 0.5542 0.5211 0.4801 0.4322 0.3955 0.3647 0.4032 0.6716 0.099748
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 2 10 0.1628 0.1557 0.7864 0.7129 0.6573 0.6142 0.5803 0.5462 0.5141 0.4767 0.4298 0.3946 0.3681 0.4054 0.6814 0.111364
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 3 10 0.1665 0.1475 0.7832 0.7014 0.6444 0.6030 0.5671 0.5340 0.5031 0.4679 0.4216 0.3900 0.3667 0.4076 0.6960 0.097793
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 4 10 0.1838 0.1509 0.8068 0.7269 0.6704 0.6282 0.5912 0.5577 0.5242 0.4867 0.4413 0.4036 0.3757 0.4009 0.6601 0.136000
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 5 10 0.1544 0.1477 0.7915 0.7152 0.6591 0.6121 0.5770 0.5435 0.5078 0.4722 0.4226 0.3854 0.3599 0.4030 0.6797 0.094495
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 6 10 0.1649 0.1413 0.7856 0.7063 0.6483 0.6071 0.5702 0.5387 0.5091 0.4735 0.4280 0.3971 0.3702 0.4069 0.6893 0.095044
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 7 10 0.1745 0.1635 0.8033 0.7268 0.6697 0.6277 0.5861 0.5513 0.5183 0.4784 0.4316 0.3966 0.3732 0.4006 0.6645 0.105983
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 8 10 0.1322 0.1785 0.7868 0.7058 0.6515 0.6121 0.5780 0.5471 0.5180 0.4818 0.4338 0.3997 0.3735 0.4073 0.6841 0.114126
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 9 10 0.1478 0.1612 0.7995 0.7264 0.6720 0.6305 0.5946 0.5583 0.5254 0.4844 0.4354 0.3994 0.3709 0.4012 0.6614 0.069879
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 10 10 0.1632 0.1553 0.7974 0.7167 0.6592 0.6151 0.5773 0.5435 0.5106 0.4745 0.4313 0.3996 0.3734 0.4035 0.6764 0.093534
COCOfunction10-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 40 100 11 10 0.1640 0.1773 0.8003 0.7181 0.6604 0.6194 0.5824 0.5510 0.5184 0.4817 0.4355 0.3981 0.3697 0.4029 0.6708 0.131204
