instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 1 1 0.7327 0.1475 1.0000 0.7440 0.4750 0.3440 0.2190 0.1990 0.1790 0.1620 0.1420 0.1310 0.1240 0.2786 0.6855 0.183350
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 2 1 0.7500 0.1404 1.0000 0.9550 0.5020 0.3490 0.2220 0.2000 0.1810 0.1630 0.1430 0.1300 0.1230 0.2654 0.6214 0.159190
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 3 1 0.7335 0.1468 1.0000 0.7530 0.4560 0.3330 0.2160 0.1950 0.1760 0.1590 0.1390 0.1280 0.1230 0.2760 0.6854 0.106065
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 4 1 0.7371 0.1461 1.0000 0.7720 0.4750 0.3480 0.2280 0.1990 0.1800 0.1620 0.1420 0.1300 0.1230 0.2756 0.6713 0.136370
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 5 1 0.7377 0.1456 1.0000 0.7830 0.4800 0.3480 0.2390 0.1990 0.1800 0.1610 0.1420 0.1300 0.1240 0.2749 0.6674 0.120103
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 6 1 0.7586 0.1387 1.0000 1.0000 0.5040 0.3580 0.2540 0.1990 0.1800 0.1620 0.1420 0.1310 0.1230 0.2627 0.6088 0.124455
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 7 1 0.7363 0.1477 1.0000 0.8440 0.4680 0.3360 0.2190 0.1980 0.1790 0.1610 0.1420 0.1310 0.1240 0.2729 0.6637 0.139876
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 8 1 0.7427 0.1445 1.0000 0.9210 0.4860 0.3480 0.2210 0.1990 0.1800 0.1610 0.1420 0.1300 0.1240 0.2701 0.6452 0.121346
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 9 1 0.7303 0.1487 1.0000 0.8600 0.4560 0.3350 0.2150 0.1950 0.1760 0.1590 0.1400 0.1290 0.1230 0.2723 0.6677 0.124699
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 10 1 0.7484 0.1421 1.0000 0.9740 0.4760 0.3440 0.2190 0.1980 0.1790 0.1610 0.1410 0.1300 0.1230 0.2659 0.6300 0.158672
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 11 1 0.7273 0.1494 1.0000 0.7370 0.4540 0.3320 0.2170 0.1970 0.1780 0.1620 0.1430 0.1300 0.1240 0.2794 0.6962 0.126668
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 12 1 0.7335 0.1479 1.0000 0.8820 0.4780 0.3460 0.2340 0.1970 0.1770 0.1590 0.1390 0.1290 0.1230 0.2708 0.6539 0.135377
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 13 1 0.7470 0.1420 1.0000 0.8640 0.5050 0.3510 0.2250 0.2030 0.1820 0.1630 0.1430 0.1310 0.1240 0.2687 0.6333 0.114488
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 14 1 0.7456 0.1425 1.0000 0.8590 0.4860 0.3550 0.2530 0.1990 0.1780 0.1600 0.1400 0.1300 0.1240 0.2702 0.6445 0.196294
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 15 1 0.7530 0.1406 1.0000 0.8990 0.5100 0.3650 0.2510 0.2040 0.1830 0.1630 0.1420 0.1300 0.1230 0.2678 0.6259 0.105724
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 16 1 0.7357 0.1465 1.0000 0.8330 0.4810 0.3460 0.2210 0.2010 0.1810 0.1630 0.1430 0.1310 0.1240 0.2748 0.6656 0.133195
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 17 1 0.7537 0.1401 1.0000 0.9610 0.5120 0.3590 0.2500 0.2010 0.1810 0.1620 0.1420 0.1300 0.1230 0.2637 0.6121 0.132413
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 18 1 0.7493 0.1420 1.0000 1.0000 0.4890 0.3510 0.2430 0.1970 0.1770 0.1590 0.1380 0.1280 0.1230 0.2627 0.6168 0.157394
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 19 1 0.7437 0.1427 1.0000 0.9030 0.4830 0.3490 0.2210 0.1990 0.1790 0.1610 0.1410 0.1300 0.1230 0.2674 0.6332 0.105609
COCOfunction15-dim1-seed1-dists2-centres6-radius0.025-freq100-amp1 kriging 5 0 20 1 0.7641 0.1356 1.0000 0.9820 0.5810 0.3610 0.2560 0.1990 0.1780 0.1600 0.1390 0.1290 0.1230 0.2583 0.5904 0.133403
