instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
ToalBranin0.80 cokriging 8 20 1 2 0.7385 0.3109 0.7725 0.6635 0.5690 0.4605 0.3500 0.2760 0.2140 0.1305 0.0320 0.0000 0.0000 0.2932 0.7471 0.094115
ToalBranin0.80 cokriging 8 20 2 2 0.7421 0.3275 0.7715 0.6645 0.5660 0.4545 0.3530 0.2765 0.2115 0.1290 0.0250 0.0000 0.0000 0.2917 0.7470 0.112293
ToalBranin0.80 cokriging 8 20 3 2 0.7355 0.3301 0.7650 0.6675 0.5635 0.4365 0.3260 0.2600 0.1920 0.1250 0.0370 0.0000 0.0000 0.2906 0.7595 0.100938
ToalBranin0.80 cokriging 8 20 4 2 0.7360 0.3469 0.7960 0.6980 0.5905 0.4540 0.3365 0.2635 0.2025 0.1340 0.0250 0.0000 0.0000 0.2844 0.7188 0.156229
ToalBranin0.80 cokriging 8 20 5 2 0.7438 0.3566 0.7665 0.6725 0.5760 0.4615 0.3350 0.2680 0.2110 0.1350 0.0360 0.0000 0.0000 0.2946 0.7532 0.208428
ToalBranin0.80 cokriging 8 20 6 2 0.7288 0.3556 0.7635 0.6790 0.5905 0.4580 0.3425 0.2750 0.2030 0.1385 0.0315 0.0000 0.0000 0.2913 0.7387 0.101199
ToalBranin0.80 cokriging 8 20 7 2 0.7271 0.3152 0.7410 0.6615 0.5795 0.4745 0.3355 0.2640 0.2125 0.1290 0.0395 0.0000 0.0000 0.2949 0.7614 0.161243
ToalBranin0.80 cokriging 8 20 8 2 0.7249 0.3007 0.7845 0.6795 0.5825 0.4765 0.3510 0.2665 0.1910 0.1190 0.0295 0.0000 0.0000 0.2859 0.7264 0.084454
ToalBranin0.80 cokriging 8 20 9 2 0.7237 0.2881 0.7945 0.6925 0.5925 0.4675 0.3450 0.2700 0.1990 0.1165 0.0200 0.0000 0.0000 0.2822 0.7138 0.110146
ToalBranin0.80 cokriging 8 20 10 2 0.7421 0.3099 0.7755 0.6790 0.5770 0.4575 0.3355 0.2535 0.1910 0.1295 0.0390 0.0000 0.0000 0.2878 0.7393 0.094814
ToalBranin0.80 cokriging 8 20 11 2 0.7441 0.3257 0.7635 0.6690 0.5720 0.4745 0.3550 0.2775 0.2070 0.1305 0.0430 0.0000 0.0000 0.2949 0.7496 0.141750
ToalBranin0.80 cokriging 8 20 12 2 0.7265 0.3153 0.7735 0.6640 0.5550 0.4500 0.3360 0.2715 0.1960 0.1325 0.0085 0.0000 0.0000 0.2879 0.7478 0.148415
ToalBranin0.80 cokriging 8 20 13 2 0.7423 0.3056 0.7805 0.6855 0.5955 0.4900 0.3555 0.2760 0.2100 0.1315 0.0320 0.0000 0.0000 0.2900 0.7220 0.111521
ToalBranin0.80 cokriging 8 20 14 2 0.7498 0.3064 0.7710 0.6610 0.5645 0.4590 0.3395 0.2820 0.2050 0.1200 0.0510 0.0000 0.0000 0.2916 0.7481 0.114829
ToalBranin0.80 cokriging 8 20 15 2 0.7348 0.3331 0.7750 0.6785 0.5700 0.4610 0.3325 0.2715 0.2115 0.1300 0.0285 0.0000 0.0000 0.2901 0.7426 0.112388
ToalBranin0.80 cokriging 8 20 16 2 0.7379 0.3329 0.7825 0.6785 0.5905 0.4715 0.3405 0.2740 0.2050 0.1285 0.0270 0.0000 0.0000 0.2877 0.7260 0.113913
ToalBranin0.80 cokriging 8 20 17 2 0.7298 0.3157 0.7625 0.6695 0.5700 0.4440 0.3305 0.2630 0.1965 0.1355 0.0215 0.0000 0.0000 0.2909 0.7577 0.088746
ToalBranin0.80 cokriging 8 20 18 2 0.7324 0.3346 0.7645 0.6740 0.5725 0.4670 0.3315 0.2610 0.1895 0.1185 0.0190 0.0000 0.0000 0.2856 0.7408 0.109422
ToalBranin0.80 cokriging 8 20 19 2 0.7294 0.3165 0.7720 0.6660 0.5685 0.4625 0.3440 0.2655 0.2000 0.1155 0.0065 0.0000 0.0000 0.2851 0.7363 0.071609
ToalBranin0.80 cokriging 8 20 20 2 0.7302 0.3087 0.7880 0.6920 0.5820 0.4705 0.3515 0.2800 0.2055 0.1190 0.0285 0.0000 0.0000 0.2860 0.7207 0.120578
