instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 13 10 0.5035 0.1351 0.8867 0.7570 0.5831 0.3915 0.2237 0.1070 0.0449 0.0130 0.0026 0.0011 0.0003 0.1951 0.5581 0.046291
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 14 10 0.4975 0.1589 0.8891 0.7475 0.5772 0.4007 0.2333 0.1182 0.0474 0.0160 0.0030 0.0004 0.0002 0.1990 0.5656 0.061528
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 15 10 0.5112 0.1486 0.8979 0.7810 0.6229 0.4305 0.2530 0.1208 0.0526 0.0161 0.0045 0.0018 0.0010 0.1967 0.5366 0.061766
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 16 10 0.4989 0.1495 0.8865 0.7564 0.5903 0.3932 0.2240 0.1078 0.0426 0.0138 0.0027 0.0014 0.0005 0.1945 0.5548 0.048508
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 17 10 0.5100 0.1516 0.8906 0.7603 0.5921 0.4095 0.2304 0.1024 0.0406 0.0130 0.0032 0.0010 0.0004 0.1937 0.5488 0.067191
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 18 10 0.5184 0.1593 0.9061 0.7916 0.6299 0.4332 0.2485 0.1164 0.0477 0.0181 0.0033 0.0011 0.0005 0.1932 0.5244 0.058218
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 19 10 0.5177 0.1505 0.8964 0.7715 0.6121 0.4247 0.2556 0.1253 0.0552 0.0176 0.0049 0.0022 0.0013 0.2001 0.5487 0.059216
COCOfunction8-dim10-seed1-dists1-centres6-radius0.1-freq100-amp1 kriging 50 0 20 10 0.5142 0.1465 0.9069 0.7857 0.6162 0.4227 0.2410 0.1072 0.0417 0.0146 0.0042 0.0016 0.0006 0.1907 0.5258 0.057606
COCOfunction7-dim10-seed1-dists1-centres9-radius0.15-freq10-amp1 kriging 50 0 1 10 0.5465 0.1064 0.8716 0.7290 0.5732 0.4024 0.2511 0.1361 0.0597 0.0194 0.0049 0.0015 0.0007 0.2096 0.5936 0.086096
COCOfunction7-dim10-seed1-dists1-centres9-radius0.15-freq10-amp1 kriging 50 0 2 10 0.5458 0.1148 0.8721 0.7312 0.5652 0.3955 0.2440 0.1308 0.0582 0.0179 0.0038 0.0011 0.0005 0.2076 0.5931 0.104356
