instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 1 2 0.8214 0.0602 0.7020 0.4960 0.3630 0.2810 0.2230 0.1750 0.1495 0.1230 0.0900 0.0585 0.0275 0.2995 0.9865 0.070130
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 2 2 0.8366 0.0606 0.7180 0.5605 0.3970 0.2920 0.2085 0.1615 0.1415 0.1225 0.0915 0.0640 0.0395 0.2915 0.9272 0.052218
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 3 2 0.8257 0.0644 0.7190 0.5190 0.3965 0.2620 0.1755 0.1460 0.1265 0.1105 0.0840 0.0595 0.0345 0.2826 0.9465 0.101170
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 4 2 0.8019 0.0704 0.7085 0.5240 0.3840 0.2915 0.2255 0.1645 0.1385 0.1105 0.0775 0.0560 0.0325 0.2915 0.9501 0.102376
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 5 2 0.8257 0.0705 0.6955 0.4860 0.3625 0.2735 0.1900 0.1570 0.1325 0.1160 0.0835 0.0580 0.0000 0.2876 0.9678 0.090995
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 6 2 0.8047 0.0731 0.6860 0.5030 0.3605 0.2555 0.1770 0.1540 0.1310 0.1110 0.0765 0.0525 0.0010 0.2848 0.9841 0.089718
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 7 2 0.7916 0.0656 0.6920 0.4965 0.3505 0.2695 0.2085 0.1475 0.1180 0.0960 0.0640 0.0410 0.0020 0.2785 0.9688 0.106921
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 8 2 0.7995 0.0612 0.7005 0.4905 0.3445 0.2705 0.2065 0.1520 0.1310 0.1030 0.0680 0.0485 0.0105 0.2809 0.9580 0.068091
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 9 2 0.8015 0.0578 0.6835 0.5005 0.3445 0.2670 0.2000 0.1550 0.1265 0.1010 0.0725 0.0490 0.0245 0.2817 0.9642 0.072810
COCOfunction12-dim2-seed1-dists1-centres6-radius0.05-freq100-amp1 cokriging 8 20 10 2 0.8366 0.0563 0.6960 0.5485 0.3845 0.3005 0.2160 0.1620 0.1415 0.1190 0.0955 0.0670 0.0350 0.2949 0.9486 0.070053
