instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 1 5 0.8845 0.1070 0.8986 0.8122 0.7238 0.6308 0.5324 0.4704 0.4060 0.3250 0.1712 0.0690 0.0302 0.3124 0.5707 0.015068
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 2 5 0.8772 0.1088 0.9040 0.8254 0.7314 0.6268 0.5378 0.4702 0.4096 0.3218 0.1622 0.0520 0.0188 0.3078 0.5621 0.077695
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 3 5 0.8872 0.1058 0.9126 0.8334 0.7408 0.6282 0.5414 0.4808 0.4160 0.3354 0.1776 0.0656 0.0244 0.3088 0.5554 0.011443
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 4 5 0.8709 0.1124 0.8834 0.7946 0.7076 0.6132 0.5334 0.4662 0.3994 0.3056 0.1532 0.0592 0.0250 0.3162 0.5919 0.008480
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 5 5 0.8786 0.1089 0.8934 0.8134 0.7346 0.6238 0.5384 0.4752 0.4076 0.3172 0.1592 0.0602 0.0296 0.3116 0.5720 0.072714
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 6 5 0.8745 0.1121 0.8934 0.8124 0.7312 0.6352 0.5312 0.4598 0.4004 0.3022 0.1478 0.0660 0.0270 0.3090 0.5709 0.021163
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 7 5 0.8798 0.1103 0.8900 0.8126 0.7260 0.6276 0.5470 0.4768 0.4100 0.3216 0.1590 0.0638 0.0296 0.3136 0.5736 0.087442
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 8 5 0.8830 0.1067 0.9056 0.8236 0.7268 0.6272 0.5442 0.4802 0.4126 0.3378 0.1704 0.0576 0.0250 0.3116 0.5644 0.038238
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 9 5 0.8738 0.1111 0.8936 0.8196 0.7256 0.6078 0.5264 0.4648 0.3962 0.3106 0.1476 0.0626 0.0260 0.3099 0.5754 0.083062
COCOfunction4-dim5-seed1-disth1-height0.25-radius0.25-freq10-amp0.5 cokriging 20 50 10 5 0.8760 0.1115 0.8842 0.7982 0.7114 0.6160 0.5422 0.4724 0.4032 0.3180 0.1624 0.0610 0.0274 0.3179 0.5890 0.096731
