instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 5 10 0.4968 0.1508 0.8849 0.7929 0.6938 0.5860 0.4637 0.3235 0.1774 0.0692 0.0144 0.0043 0.0019 0.2481 0.5521 0.147066
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 6 10 0.4851 0.1397 0.8899 0.7914 0.6907 0.5812 0.4586 0.3187 0.1773 0.0632 0.0126 0.0039 0.0017 0.2469 0.5525 0.114757
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 7 10 0.5055 0.1504 0.9059 0.8175 0.7186 0.6055 0.4830 0.3456 0.1944 0.0767 0.0171 0.0060 0.0022 0.2453 0.5273 0.116486
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 8 10 0.5267 0.1307 0.9124 0.8304 0.7291 0.6126 0.4790 0.3319 0.1841 0.0655 0.0114 0.0031 0.0011 0.2376 0.5117 0.111181
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 9 10 0.4980 0.1519 0.8987 0.8079 0.7058 0.5932 0.4685 0.3264 0.1828 0.0658 0.0122 0.0032 0.0017 0.2429 0.5344 0.134045
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 10 10 0.4920 0.1366 0.8897 0.8018 0.6975 0.5874 0.4640 0.3252 0.1867 0.0721 0.0148 0.0045 0.0014 0.2483 0.5491 0.132010
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 11 10 0.4859 0.1385 0.9008 0.8153 0.7155 0.6016 0.4791 0.3345 0.1795 0.0681 0.0146 0.0049 0.0016 0.2432 0.5294 0.106587
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 12 10 0.5012 0.1447 0.9030 0.8103 0.7073 0.5918 0.4547 0.3116 0.1692 0.0663 0.0152 0.0054 0.0019 0.2412 0.5345 0.125706
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 13 10 0.5097 0.1395 0.9031 0.8194 0.7187 0.6027 0.4775 0.3284 0.1807 0.0634 0.0119 0.0036 0.0016 0.2399 0.5229 0.130554
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 14 10 0.4900 0.1424 0.8956 0.8030 0.6966 0.5820 0.4581 0.3166 0.1742 0.0610 0.0133 0.0035 0.0018 0.2434 0.5426 0.121844
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 15 10 0.4875 0.1455 0.8932 0.8037 0.7089 0.6039 0.4819 0.3420 0.1979 0.0731 0.0142 0.0050 0.0017 0.2491 0.5415 0.112495
COCOfunction1-dim10-seed1-disth2-height0.25-radius0.025-freq100-amp2 cokriging 40 100 16 10 0.5039 0.1479 0.9011 0.8117 0.7088 0.5936 0.4645 0.3275 0.1803 0.0685 0.0138 0.0036 0.0022 0.2432 0.5339 0.133268
