instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 1 5 0.2199 0.1206 0.8598 0.7966 0.7356 0.6680 0.6054 0.5454 0.4730 0.3908 0.3020 0.2486 0.2152 0.3510 0.5904 0.095401
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 2 5 0.1633 0.1711 0.8486 0.7768 0.7172 0.6628 0.6008 0.5284 0.4508 0.3782 0.2980 0.2444 0.2088 0.3548 0.6082 0.217803
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 3 5 0.1631 0.1158 0.8300 0.7580 0.6948 0.6342 0.5834 0.5252 0.4654 0.3798 0.2988 0.2416 0.2098 0.3641 0.6356 0.084833
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 4 5 0.1866 0.1565 0.8406 0.7620 0.7040 0.6382 0.5700 0.5102 0.4398 0.3714 0.3004 0.2488 0.2160 0.3601 0.6316 0.107214
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 5 5 0.2007 0.1308 0.8368 0.7592 0.6974 0.6374 0.5782 0.5242 0.4628 0.4016 0.3206 0.2632 0.2242 0.3668 0.6345 0.141095
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 6 5 0.2048 0.1387 0.8476 0.7858 0.7190 0.6584 0.5910 0.5288 0.4476 0.3652 0.2756 0.2176 0.1826 0.3512 0.6096 0.094671
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 7 5 0.1754 0.1151 0.8342 0.7624 0.7080 0.6610 0.6058 0.5486 0.4838 0.4030 0.3116 0.2472 0.2062 0.3632 0.6180 0.074372
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 8 5 0.1541 0.1515 0.8138 0.7400 0.6848 0.6258 0.5648 0.5032 0.4504 0.3900 0.3066 0.2456 0.2066 0.3708 0.6578 0.091772
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 9 5 0.1582 0.1287 0.8220 0.7440 0.6812 0.6338 0.5818 0.5224 0.4630 0.3850 0.3024 0.2542 0.2150 0.3695 0.6479 0.089040
COCOfunction19-dim5-seed1-disth1-height0.25-radius0.15-freq10-amp1 cokriging 20 50 10 5 0.1235 0.1587 0.7946 0.7244 0.6662 0.6138 0.5568 0.4954 0.4284 0.3600 0.2828 0.2350 0.2048 0.3714 0.6777 0.112808
