instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 9 10 0.3318 0.0697 0.9806 0.9720 0.9646 0.9573 0.9504 0.9437 0.9337 0.9183 0.8881 0.8592 0.8333 0.1859 0.1974 0.069375
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 10 10 0.4210 0.0918 0.9776 0.9677 0.9589 0.9502 0.9401 0.9319 0.9184 0.8992 0.8657 0.8360 0.8147 0.2011 0.2160 0.100406
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 11 10 0.2319 0.0901 0.9760 0.9637 0.9565 0.9477 0.9397 0.9310 0.9189 0.9022 0.8724 0.8453 0.8235 0.2050 0.2203 0.073706
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 12 10 0.4185 0.1013 0.9795 0.9710 0.9652 0.9580 0.9509 0.9430 0.9332 0.9174 0.8863 0.8612 0.8382 0.1869 0.1986 0.089025
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 13 10 0.2909 0.1055 0.9734 0.9633 0.9539 0.9465 0.9367 0.9282 0.9167 0.8980 0.8680 0.8421 0.8125 0.2080 0.2241 0.096217
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 14 10 0.3780 0.0820 0.9804 0.9701 0.9619 0.9537 0.9447 0.9371 0.9254 0.9091 0.8731 0.8412 0.8201 0.1933 0.2067 0.081805
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 15 10 0.3473 0.0896 0.9770 0.9676 0.9579 0.9509 0.9423 0.9313 0.9195 0.9030 0.8689 0.8411 0.8154 0.2012 0.2159 0.088963
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 16 10 0.4088 0.0918 0.9853 0.9767 0.9676 0.9597 0.9516 0.9432 0.9301 0.9143 0.8809 0.8576 0.8365 0.1805 0.1917 0.080282
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 17 10 0.3473 0.0996 0.9808 0.9700 0.9601 0.9523 0.9445 0.9360 0.9258 0.9124 0.8845 0.8559 0.8322 0.1944 0.2074 0.090195
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 18 10 0.3313 0.0998 0.9716 0.9611 0.9491 0.9411 0.9320 0.9221 0.9082 0.8893 0.8628 0.8350 0.8149 0.2164 0.2343 0.090072
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 19 10 0.2395 0.1093 0.9765 0.9650 0.9565 0.9472 0.9378 0.9286 0.9162 0.8981 0.8693 0.8392 0.8171 0.2058 0.2214 0.077042
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp1.5 cokriging 40 100 20 10 0.2627 0.0989 0.9728 0.9598 0.9463 0.9367 0.9272 0.9184 0.9058 0.8880 0.8604 0.8337 0.8122 0.2202 0.2391 0.108366
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 1 10 0.2672 0.1890 0.9830 0.9752 0.9687 0.9605 0.9507 0.9366 0.9165 0.8930 0.8570 0.8267 0.8032 0.1867 0.2000 0.101028
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 2 10 0.3328 0.0934 0.9818 0.9725 0.9659 0.9607 0.9535 0.9408 0.9189 0.8904 0.8521 0.8277 0.8090 0.1880 0.2014 0.067802
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 3 10 0.3916 0.1112 0.9898 0.9836 0.9779 0.9718 0.9622 0.9471 0.9247 0.8956 0.8568 0.8308 0.8060 0.1668 0.1774 0.077971
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 4 10 0.3131 0.1536 0.9851 0.9777 0.9712 0.9638 0.9536 0.9374 0.9119 0.8856 0.8496 0.8287 0.8076 0.1832 0.1963 0.121481
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 5 10 0.2925 0.1371 0.9817 0.9728 0.9663 0.9591 0.9502 0.9395 0.9183 0.8863 0.8519 0.8240 0.8012 0.1895 0.2034 0.094520
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 6 10 0.4479 0.1150 0.9828 0.9753 0.9691 0.9619 0.9540 0.9405 0.9228 0.8994 0.8617 0.8376 0.8112 0.1833 0.1956 0.092796
COCOfunction9-dim10-seed1-disth1-height0.25-radius0.15-freq100-amp2 cokriging 40 100 7 10 0.3258 0.1627 0.9826 0.9733 0.9663 0.9590 0.9518 0.9381 0.9190 0.8899 0.8513 0.8257 0.8051 0.1889 0.2026 0.109936
