instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 1 10 0.1635 0.0958 0.9801 0.9715 0.9650 0.9592 0.9536 0.9465 0.9382 0.9293 0.9170 0.9026 0.8867 0.1836 0.1933 0.065829
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 2 10 0.0855 0.1208 0.9761 0.9652 0.9558 0.9487 0.9417 0.9363 0.9285 0.9177 0.9013 0.8910 0.8800 0.2011 0.2138 0.066655
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 3 10 0.1936 0.1174 0.9767 0.9678 0.9591 0.9520 0.9446 0.9358 0.9236 0.9111 0.8954 0.8825 0.8720 0.1979 0.2107 0.062507
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 4 10 0.0773 0.0901 0.9714 0.9592 0.9515 0.9433 0.9369 0.9297 0.9215 0.9111 0.8992 0.8886 0.8810 0.2109 0.2254 0.067040
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 5 10 0.1593 0.0795 0.9792 0.9688 0.9619 0.9546 0.9460 0.9388 0.9291 0.9163 0.8963 0.8856 0.8761 0.1932 0.2051 0.052633
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 6 10 0.2327 0.0803 0.9821 0.9736 0.9681 0.9621 0.9546 0.9473 0.9397 0.9281 0.9085 0.8946 0.8863 0.1785 0.1879 0.053297
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 7 10 0.1733 0.0590 0.9778 0.9688 0.9602 0.9524 0.9459 0.9380 0.9301 0.9165 0.8994 0.8879 0.8792 0.1945 0.2064 0.037864
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 8 10 0.1721 0.1164 0.9775 0.9687 0.9608 0.9542 0.9470 0.9403 0.9327 0.9219 0.9039 0.8957 0.8874 0.1928 0.2041 0.080229
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 9 10 0.1587 0.0827 0.9737 0.9639 0.9549 0.9488 0.9421 0.9346 0.9261 0.9189 0.9049 0.8918 0.8842 0.2034 0.2164 0.059797
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 10 10 0.1152 0.0673 0.9713 0.9617 0.9522 0.9450 0.9382 0.9321 0.9230 0.9086 0.8883 0.8728 0.8631 0.2090 0.2237 0.041900
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 11 10 0.1775 0.0864 0.9801 0.9720 0.9651 0.9596 0.9535 0.9476 0.9397 0.9300 0.9112 0.8978 0.8915 0.1825 0.1922 0.056599
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 12 10 0.1988 0.0634 0.9742 0.9627 0.9549 0.9483 0.9419 0.9346 0.9269 0.9158 0.8988 0.8855 0.8751 0.2038 0.2171 0.053640
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 13 10 0.1349 0.1019 0.9791 0.9681 0.9597 0.9527 0.9451 0.9392 0.9309 0.9185 0.9034 0.8928 0.8795 0.1941 0.2059 0.060496
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 14 10 0.1618 0.0759 0.9740 0.9639 0.9561 0.9476 0.9409 0.9344 0.9256 0.9142 0.9019 0.8931 0.8864 0.2037 0.2169 0.052957
COCOfunction18-dim10-seed1-disth1-height0.25-radius0.15-freq10-amp2 kriging 50 0 15 10 0.0857 0.1123 0.9792 0.9691 0.9610 0.9559 0.9495 0.9429 0.9359 0.9264 0.9107 0.8978 0.8891 0.1898 0.2005 0.065882
