instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 1 1 0.6477 0.1919 1.0000 0.7550 0.4120 0.0850 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0932 0.3456 0.191742
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 2 1 0.6481 0.1919 1.0000 0.7540 0.4150 0.0860 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0939 0.3475 0.260103
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 3 1 0.6474 0.1930 1.0000 0.7560 0.4140 0.0850 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0933 0.3454 0.115377
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 4 1 0.6470 0.1916 1.0000 0.7460 0.4080 0.0820 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0925 0.3447 0.137430
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 5 1 0.6469 0.1927 1.0000 0.7510 0.4100 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0930 0.3463 0.140140
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 6 1 0.6475 0.1930 1.0000 0.7400 0.4070 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0930 0.3467 0.241141
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 7 1 0.6476 0.1934 1.0000 0.7540 0.4090 0.0850 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0933 0.3462 0.120702
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 8 1 0.6474 0.1938 0.9850 0.7460 0.4060 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0935 0.3491 0.152044
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 9 1 0.6473 0.1931 1.0000 0.7510 0.4140 0.0850 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0932 0.3459 0.173465
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 10 1 0.6487 0.1923 1.0000 0.7640 0.4230 0.0850 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0935 0.3445 0.130825
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 11 1 0.6481 0.1918 1.0000 0.7560 0.4170 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0930 0.3441 0.148994
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 12 1 0.6484 0.1924 1.0000 0.7580 0.4180 0.0860 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0938 0.3467 0.189256
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 13 1 0.6478 0.1925 1.0000 0.7560 0.4160 0.0840 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0932 0.3452 0.159422
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 14 1 0.6472 0.1923 1.0000 0.7480 0.4080 0.0840 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0928 0.3455 0.351472
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 15 1 0.6475 0.1934 1.0000 0.7540 0.4160 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0930 0.3446 0.116337
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 16 1 0.6479 0.1922 1.0000 0.7490 0.4060 0.0840 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0932 0.3472 0.179263
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 17 1 0.6464 0.1936 0.9870 0.7540 0.4150 0.0830 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0936 0.3476 0.167478
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 18 1 0.6473 0.1917 1.0000 0.7510 0.4120 0.0840 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0932 0.3459 0.161066
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 19 1 0.6466 0.1920 1.0000 0.7530 0.4130 0.0850 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0933 0.3457 0.197948
COCOfunction15-dim1-seed1-dists2-centres9-radius0.2-freq10-amp0.5 cokriging 4 10 20 1 0.6478 0.1923 1.0000 0.7590 0.4160 0.0820 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0931 0.3450 0.137918
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 1 1 0.6171 0.2193 0.8640 0.6660 0.3790 0.1520 0.0630 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1304 0.5009 0.120304
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 2 1 0.6187 0.2188 0.8640 0.6690 0.3860 0.1550 0.0660 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1310 0.4999 0.132296
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 3 1 0.6170 0.2205 0.8640 0.6690 0.3820 0.1540 0.0650 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1305 0.4997 0.106897
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 4 1 0.6174 0.2187 0.8650 0.6680 0.3830 0.1520 0.0580 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1293 0.4967 0.149460
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 5 1 0.6167 0.2202 0.8640 0.6640 0.3790 0.1530 0.0620 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1305 0.5016 0.159538
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 6 1 0.6174 0.2205 0.8650 0.6610 0.3780 0.1510 0.0610 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1303 0.5028 0.247985
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 7 1 0.6174 0.2208 0.8640 0.6680 0.3790 0.1520 0.0620 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1300 0.4983 0.171015
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 8 1 0.6178 0.2212 0.8630 0.6630 0.3760 0.1530 0.0650 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1314 0.5059 0.146766
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 9 1 0.6170 0.2206 0.8640 0.6660 0.3810 0.1530 0.0620 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1303 0.5004 0.152719
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 10 1 0.6184 0.2196 0.8640 0.6720 0.3920 0.1530 0.0620 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1300 0.4958 0.149769
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 11 1 0.6175 0.2190 0.8650 0.6660 0.3840 0.1530 0.0620 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1303 0.5000 0.186583
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 12 1 0.6186 0.2197 0.8630 0.6690 0.3870 0.1540 0.0650 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1312 0.5011 0.181990
COCOfunction3-dim1-seed1-dists2-centres9-radius0.05-freq10-amp1 cokriging 4 10 13 1 0.6188 0.2192 0.8640 0.6700 0.3880 0.1510 0.0620 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.1300 0.4965 0.142442
