instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 1 5 0.3326 0.0945 0.6654 0.5590 0.5058 0.4672 0.4354 0.4056 0.3774 0.3400 0.2980 0.2700 0.2472 0.4120 0.8950 0.053014
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 2 5 0.3032 0.1222 0.6552 0.5538 0.4960 0.4568 0.4264 0.3966 0.3678 0.3380 0.2964 0.2718 0.2508 0.4114 0.9039 0.055914
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 3 5 0.2729 0.1271 0.6132 0.5288 0.4724 0.4404 0.4118 0.3866 0.3554 0.3292 0.2912 0.2618 0.2412 0.4163 0.9544 0.059543
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 4 5 0.2535 0.1281 0.6242 0.5376 0.4884 0.4544 0.4220 0.3946 0.3664 0.3350 0.2934 0.2628 0.2462 0.4169 0.9381 0.047969
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 5 5 0.3239 0.1219 0.6488 0.5548 0.4990 0.4600 0.4276 0.3950 0.3626 0.3320 0.2918 0.2634 0.2404 0.4108 0.9091 0.059535
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 6 5 0.2338 0.1527 0.6152 0.5134 0.4624 0.4236 0.3926 0.3640 0.3408 0.3102 0.2820 0.2616 0.2456 0.4120 0.9697 0.064478
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 7 5 0.2860 0.1458 0.6390 0.5396 0.4870 0.4502 0.4212 0.3950 0.3668 0.3346 0.2966 0.2712 0.2482 0.4147 0.9269 0.053111
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 8 5 0.2850 0.1069 0.6504 0.5514 0.4922 0.4558 0.4230 0.3930 0.3640 0.3328 0.2910 0.2642 0.2460 0.4109 0.9124 0.038570
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 9 5 0.2875 0.1083 0.6680 0.5696 0.5192 0.4716 0.4350 0.4058 0.3760 0.3432 0.3018 0.2732 0.2488 0.4095 0.8808 0.046153
COCOfunction17-dim5-seed1-dists2-centres3-radius0.2-freq10-amp1.5 kriging 25 0 10 5 0.3398 0.1091 0.6726 0.5778 0.5216 0.4824 0.4460 0.4134 0.3806 0.3472 0.3050 0.2738 0.2528 0.4102 0.8721 0.050911
