instance technique highFiBudget lowFiBudget seed dimension CC RRMSE LCC_0.1 LCC_0.2 LCC_0.3 LCC_0.4 LCC_0.5 LCC_0.6 LCC_0.7 LCC_0.8 LCC_0.9 LCC_0.95 LCC_0.975 LCC_sd LCC_coeff performance
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 1 5 0.6500 0.0425 0.4840 0.3458 0.2736 0.2214 0.1730 0.1336 0.0956 0.0530 0.0116 0.0028 0.0006 0.2629 1.2106 0.054302
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 2 5 0.6330 0.0594 0.4662 0.3494 0.2732 0.2162 0.1696 0.1284 0.0912 0.0514 0.0136 0.0026 0.0000 0.2612 1.2223 0.071898
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 3 5 0.6595 0.0454 0.5172 0.3714 0.2894 0.2226 0.1738 0.1332 0.0942 0.0528 0.0178 0.0036 0.0002 0.2619 1.1550 0.056454
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 4 5 0.6439 0.0680 0.5136 0.3720 0.2790 0.2212 0.1748 0.1290 0.0864 0.0504 0.0150 0.0022 0.0000 0.2580 1.1527 0.083466
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 5 5 0.6439 0.0570 0.5090 0.3474 0.2670 0.2130 0.1670 0.1310 0.0980 0.0572 0.0184 0.0022 0.0000 0.2615 1.1829 0.061407
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 6 5 0.6053 0.0603 0.5048 0.3698 0.2812 0.2226 0.1710 0.1260 0.0770 0.0386 0.0084 0.0022 0.0000 0.2532 1.1625 0.063502
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 7 5 0.6119 0.0665 0.5312 0.3848 0.2876 0.2206 0.1698 0.1256 0.0808 0.0412 0.0094 0.0002 0.0000 0.2522 1.1223 0.072157
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 8 5 0.6243 0.0473 0.5150 0.3730 0.2890 0.2254 0.1636 0.1122 0.0696 0.0394 0.0128 0.0030 0.0008 0.2491 1.1341 0.057664
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 9 5 0.6487 0.0361 0.5150 0.3624 0.2842 0.2244 0.1780 0.1328 0.0864 0.0452 0.0146 0.0054 0.0018 0.2581 1.1512 0.042108
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 10 5 0.6645 0.0448 0.5296 0.3722 0.2896 0.2300 0.1806 0.1412 0.1016 0.0602 0.0144 0.0030 0.0002 0.2649 1.1434 0.063122
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 11 5 0.6458 0.0527 0.5086 0.3668 0.2774 0.2156 0.1694 0.1258 0.0830 0.0418 0.0182 0.0040 0.0000 0.2562 1.1663 0.065641
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 12 5 0.6538 0.0537 0.5034 0.3652 0.2894 0.2330 0.1804 0.1364 0.0938 0.0496 0.0170 0.0030 0.0000 0.2637 1.1697 0.063659
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 13 5 0.6417 0.0506 0.4750 0.3382 0.2656 0.2038 0.1614 0.1190 0.0778 0.0452 0.0180 0.0058 0.0004 0.2544 1.2216 0.065369
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 14 5 0.6600 0.0455 0.4904 0.3482 0.2718 0.2150 0.1716 0.1288 0.0908 0.0478 0.0172 0.0050 0.0010 0.2606 1.2014 0.063634
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 15 5 0.6519 0.0598 0.5044 0.3602 0.2726 0.2058 0.1614 0.1210 0.0888 0.0546 0.0192 0.0040 0.0000 0.2567 1.1753 0.079141
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 16 5 0.6096 0.0772 0.5116 0.3812 0.2916 0.2224 0.1710 0.1200 0.0748 0.0374 0.0062 0.0000 0.0000 0.2500 1.1337 0.107764
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 17 5 0.6403 0.0684 0.5232 0.3884 0.3064 0.2346 0.1776 0.1246 0.0822 0.0456 0.0138 0.0012 0.0000 0.2575 1.1264 0.072537
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 18 5 0.6574 0.0489 0.5188 0.3720 0.2814 0.2204 0.1710 0.1340 0.0976 0.0568 0.0238 0.0048 0.0004 0.2640 1.1637 0.057202
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 19 5 0.6625 0.0470 0.5304 0.3736 0.2792 0.2132 0.1622 0.1190 0.0784 0.0472 0.0176 0.0080 0.0020 0.2510 1.1249 0.057696
COCOfunction18-dim5-seed1-disth2-height0.75-radius0.05-freq100-amp0.1 cokriging 20 50 20 5 0.6573 0.0534 0.4962 0.3674 0.2802 0.2226 0.1740 0.1300 0.0886 0.0462 0.0130 0.0050 0.0018 0.2590 1.1770 0.080672
COCOfunction5-dim5-seed1-disth2-height0-radius0.1-freq100-amp0.5 cokriging 20 50 1 5 0.6674 0.1295 0.9622 0.7978 0.5992 0.4026 0.2498 0.1306 0.0478 0.0060 0.0004 0.0000 0.0000 0.1812 0.4890 0.041827
COCOfunction5-dim5-seed1-disth2-height0-radius0.1-freq100-amp0.5 cokriging 20 50 2 5 0.6577 0.1382 0.9256 0.7576 0.6008 0.4170 0.2426 0.1368 0.0450 0.0058 0.0002 0.0000 0.0000 0.1908 0.5261 0.128391
